时间（周）,话题热度占比（%）,95%置信区间上界（%）,95%置信区间下界（%）
202034,0.761460629,1.540558977,-0.017637719
202035,0.845111693,1.624210042,0.066013345
202036,0.728742156,1.507840504,-0.050356192
202037,0.71594344,1.495041788,-0.063154908
202038,0.762345996,1.541444344,-0.016752352
202039,0.688913273,1.468011621,-0.090185075
202040,0.733752763,1.512851111,-0.045345585
202041,0.711048007,1.490146356,-0.068050341
202042,0.637461658,1.416560006,-0.14163669
202043,0.625422309,1.404520657,-0.153676039
202044,0.73161876,1.510717108,-0.047479588
202045,0.744230977,1.523329325,-0.034867371
202046,0.70263387,1.481732218,-0.076464478
202047,0.713455955,1.492554303,-0.065642394
202048,0.715513554,1.494611902,-0.063584794
202049,0.648141358,1.427239707,-0.13095699
202050,0.691628221,1.470726569,-0.087470127
202051,0.727001399,1.506099747,-0.052096949
202052,0.608194626,1.387292974,-0.170903723
202053,0.75615391,1.535252259,-0.022944438
202101,0.775066077,1.554164425,-0.004032271
202102,0.714460421,1.493558769,-0.064637927
202103,0.692963197,1.472061545,-0.086135151
202104,0.779081649,1.558179997,-1.67E-05
202105,0.775241597,1.554339945,-0.003856751
202106,0.710570372,1.48966872,-0.068527977
202107,0.82773507,1.606833418,0.048636721
202108,0.788593431,1.567691779,0.009495083
202109,0.773607797,1.552706145,-0.005490551
202110,0.910362906,1.689461254,0.131264558
202111,0.913353399,1.692451747,0.13425505
202112,0.821642388,1.600740737,0.04254404
202113,0.846457451,1.625555799,0.067359103
202114,0.826819503,1.605917851,0.047721154
202115,0.901831109,1.680929457,0.122732761
202116,0.793366288,1.572464637,0.01426794
202117,0.890350522,1.66944887,0.111252173
202118,0.771316151,1.550414499,-0.007782197
202119,0.892139155,1.671237504,0.113040807
202120,0.709361293,1.488459641,-0.069737055
202121,0.772947056,1.552045404,-0.006151292
202122,0.731683085,1.510781433,-0.047415263
202123,0.688448716,1.467547064,-0.090649632
202124,0.729788166,1.508886514,-0.049310182
